"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12358","test_api_to_ui","tests","2026-05-06","passed","2026-05-06","","test_api_to_ui","",""
"","1539","test_get_all_notes_api","tests","2026-05-06","passed","2026-05-06","","test_get_all_notes","",""
"","10512","test_login","tests","2026-05-06","passed","2026-05-06","","test_login","",""
"","14607","test_empty_note_validation","tests","2026-05-06","passed","2026-05-06","","test_empty_note","",""
"","32375","test_create_note_ui","tests","2026-05-06","passed","2026-05-06","","test_notes_ui","",""
"","30061","test_invalid_login[invalid@-short]","tests","2026-05-06","passed","2026-05-06","","test_invalid_login","",""
"","30886","test_ui_to_api","tests","2026-05-06","passed","2026-05-06","","test_ui_to_api","",""
"","32856","test_invalid_login[invalid.user@example.com-WrongPassword123!]","tests","2026-05-06","passed","2026-05-06","","test_invalid_login","",""
"","10982","test_delete_note_ui","tests","2026-05-06","passed","2026-05-06","","test_delete_note","",""
"","2240","test_get_notes_api","tests","2026-05-06","passed","2026-05-06","","test_notes_api","",""
"","9124","test_ui_login_performance","tests","2026-05-06","passed","2026-05-06","","test_performance","",""
"","31946","test_invalid_login[-ValidPassword123!]","tests","2026-05-06","passed","2026-05-06","","test_invalid_login","",""
"","30589","test_invalid_login[valid.user@example.com-]","tests","2026-05-06","passed","2026-05-06","","test_invalid_login","",""
"","17939","test_delete_note_by_title_ui","tests","2026-05-06","passed","2026-05-06","","test_delete_note","",""
